bg_id,style,license,id,accession,title,artist,date,source_url,image_url,w,h,src_file,out_file
bg50,painting,CC0,124078,1944.80,Pond at Ville-d'Avray,"Jean Baptiste Camille Corot (French, 1796–1875)",late 1860s,https://clevelandart.org/art/1944.80,https://openaccess-cdn.clevelandart.org/1944.80/1944.80_print.jpg,3400,2006,cma_1944.80_124078.jpg,bg50.jpg
bg51,painting,CC0,153388,1986.73,"View of Bordeaux, from the Quai des Chartrons","Eugène Boudin (French, 1824–1898)",1874,https://clevelandart.org/art/1986.73,https://openaccess-cdn.clevelandart.org/1986.73/1986.73_print.jpg,3400,2049,cma_1986.73_153388.jpg,bg51.jpg
bg52,painting,CC0,155626,1990.7,The Lock at Pontoise,"Camille Pissarro (French, 1830–1903)",1872,https://clevelandart.org/art/1990.7,https://openaccess-cdn.clevelandart.org/1990.7/1990.7_print.jpg,3400,2159,cma_1990.7_155626.jpg,bg52.jpg
bg53,painting,CC0,157104,1993.236,The Seine at Bas-Meudon,"Johan Barthold Jongkind (Dutch, 1819–1891)",1865,https://clevelandart.org/art/1993.236,https://openaccess-cdn.clevelandart.org/1993.236/1993.236_print.jpg,3400,2401,cma_1993.236_157104.jpg,bg53.jpg
bg54,painting,CC0,168471,2010.23,View of the Port of Saint-Valéry-sur-Somme,"Eugène Boudin (French, 1824–1898)",1891,https://clevelandart.org/art/2010.23,https://openaccess-cdn.clevelandart.org/2010.23/2010.23_print.jpg,3400,2425,cma_2010.23_168471.jpg,bg54.jpg
bg55,painting,CC0,128363,1951.323,Villerville Seen from Le Ratier,"Charles François Daubigny (French, 1817–1878)",1855,https://clevelandart.org/art/1951.323,https://openaccess-cdn.clevelandart.org/1951.323/1951.323_print.jpg,3400,1582,cma_1951.323_128363.jpg,bg55.jpg
bg58,monet,CC0,136510,1960.81,Water Lilies (Agapanthus),"Claude Monet (French, 1840–1926)",c. 1915–26,https://clevelandart.org/art/1960.81,https://openaccess-cdn.clevelandart.org/1960.81/1960.81_print.jpg,3400,1581,cma_1960.81_136510.jpg,bg58.jpg
bg59,painting,CC0,119703,1940.540,Banks of the Seine,unknown,not dated,https://clevelandart.org/art/1940.540,https://openaccess-cdn.clevelandart.org/1940.540/1940.540_print.jpg,3400,1962,cma_1940.540_119703.jpg,bg59.jpg
bg60,painting,CC0,136760,1961.262,"Saint-Mammès, Loing Canal","Alfred Sisley (French, 1840–1899)",1885,https://clevelandart.org/art/1961.262,https://openaccess-cdn.clevelandart.org/1961.262/1961.262_print.jpg,3400,2846,cma_1961.262_136760.jpg,bg60.jpg
bg61,painting,CC0,142394,1966.208,The Coast at Trouville,"Eugène Boudin (French, 1824–1898)",c. 1865–1900,https://clevelandart.org/art/1966.208,https://openaccess-cdn.clevelandart.org/1966.208/1966.208_print.jpg,3400,2550,cma_1966.208_142394.jpg,bg61.jpg
